,id,text,time stamp
787,@rumireports,The owner of a sake brewery near the epicenter of the Ishikawa earthquake shows collapsed buildings nearby. Can hear her hoping to salvage any of the remaining sake. Kimana Seiko of Matsunami Sake Brewery in Noto. Verified via Storyful,01-01-2024
788,@t_k_happiness,"At around pm today, there was a strong earthquake with its epicenter in the Noto region of Ishikawa Prefecture. The depth of the epicenter is extremely shallow, and the magnitude, which indicates the scale of the earthquake, is estimated to be ..",01-01-2024
790,@shahinu_r,"Serious damage was reported in Noto, a town near the epicenter. earthquake Ishikawa Japan",01-01-2024
791,@ASUVARNA66,"A video capturing the earthquakes impact in Nagano, despite the epicenter being quite distant from the Noto peninsula where the earthquake struck today. Japan Tsunami NewYear earthquake",01-01-2024
793,@in_the_name_of,"Earthquake with its epicenter in the Noto region of Ishikawa Prefecture. The depth of the epicenter was very shallow, the magnitude of the earthquake was M., and a maximum seismic intensity of was observed in Ishikawa Prefecture. A major tsunami warning is being issued.",01-01-2024
794,@Hsnain901,"VIDEOWatch the startling video of the earthquake felt in Nagano,japan despite its distance from the epicenter at the Noto Peninsula.",01-01-2024
795,@BrownHasher,"Just sat through the longest earthquake I have ever felt, not too severe over here in Tokyo but it was a . at the epicenter near Noto in Ishikawa, hoping the damage over there is minimal and that everyone is safe",01-01-2024
797,@CaliesCaliCOL,"INTERNACIONAL Un terremoto de magnitud . grados sacudio este de enero la region de Noto, en Ishikama, Japon, segun el Servicio Geologico de Estados Unidos.",01-01-2024
798,@ilustrador,"Tras ser golpeado por el oleaje del Tsunami, asi lucen las calles de un poblado de la peninsula de Noto, en Japon Terremoto sismo Temblor earthquake",01-01-2024
804,@MundoEConflicto,"AHORA Danos de consideracion en Noto, Japon, debido al fuerte terremoto.",01-01-2024
805,@MHNewsDaily,"A video capturing the earthquakes impact in Nagano, despite the epicenter being quite distant from the Noto peninsula where the earthquake struck today. Japan Earthquake Tsunami NewYear",01-01-2024
807,@anees_tareen,"A video capturing the earthquakes impact in Nagano, despite the epicenter being quite distant from the Noto peninsula where the earthquake struck today. Japan Earthquake Tsunami NewYear",01-01-2024
