text,date
former amp attacker christian atsu reportedly missing powerful hit amp thousands people reported dead,2023-02-06 13:16:52+00:00
prayers,2023-02-06 13:16:55+00:00
earthquake northern syria devastating already taken many lives thoughts prayers affected,2023-02-06 13:16:55+00:00
breaking inside visuals turkey famous hotel,2023-02-06 13:17:04+00:00
pray turkey,2023-02-06 13:17:06+00:00
may allah mercy us,2023-02-06 13:17:06+00:00
may allah mercy people keep safe,2023-02-06 13:17:09+00:00
uzungol trabzon cinematic drone video snow watch video youtube k uhd channel aissa haffar phlink comments,2023-02-06 13:17:10+00:00
third earthquake magnitude strikes hits central,2023-02-06 13:17:12+00:00
visuals turkey famous hotel inside video cara capture,2023-02-06 13:17:15+00:00
britain said monday would send search rescue specialists emergency medical team turkey powerful earthquake killed people,2023-02-06 13:17:17+00:00
earthquake turkeywe look forward prayers,2023-02-06 13:17:19+00:00
earthquake left many need let us come together support relief efforts donate help affected stand solidarity affected,2023-02-06 13:17:20+00:00
name jaffer,2023-02-06 13:17:26+00:00
prayers affected todays devastating earthquake turkey syria first deadly earthquake second earthquake hit againpraying lost lives earthquake condolences,2023-02-06 13:17:27+00:00
amazing prediction,2023-02-06 13:17:28+00:00
prayers respect people entire world,2023-02-06 13:17:33+00:00
praying people affected earthquake may god mercy designmounir,2023-02-06 13:17:44+00:00
trkiye declared th level alert statethe th level alarm condition includes international call help around world reading messageour people rubble earthquake country need help,2023-02-06 13:17:45+00:00
allahuakhbar heartbreakingmy condolences people lost loves one family friends,2023-02-06 13:17:46+00:00
turkey mp ismet tokdemir neither want water food want search n rescue team search n rescue team wherever world demand itindia yes,2023-02-06 13:17:46+00:00
need rescue team world weather cold thousands people need help rubble need help urgently beg,2023-02-06 13:17:51+00:00
eugenio cavallinattias biasiotto family express heartfelt condolences people turkey tragic earthquake struck country,2023-02-06 13:17:52+00:00
heartbreaking visuals coming massive jolt stand brothers sisters tough time ya allah ham sab par reham farma ameen,2023-02-06 13:17:53+00:00
breaking news announced total buildings destroyed due earthquake turkey aftershocks buildings damaged subsequently demolished,2023-02-06 13:17:56+00:00
another magnitude earthquake turkey prayers brothers amp sisters,2023-02-06 13:17:56+00:00
another magnitude earthquake turkey prayers brothers amp sisters,2023-02-06 13:17:56+00:00
buras hataythis city hatay iskenderun earthquake made city way cities similar images,2023-02-06 13:17:59+00:00
heart iranian pray turkey syria lebanonstay strong,2023-02-06 13:17:59+00:00
dear peopleplease hold help coming india well,2023-02-06 13:17:59+00:00
former footballer reportedly trapped rubble magnitude wreaked havoc country monday,2023-02-06 13:18:00+00:00
prayers everyone affected earthquake,2023-02-06 13:18:04+00:00
may allah protect people turkey ameen,2023-02-06 13:18:05+00:00
top trend,2023-02-06 13:18:07+00:00
world witnessing horrific tragedy unfold eyes prayers victims,2023-02-06 13:18:08+00:00
another magnitude earthquake hit central turkey followed minutes later strong magnitude aftershock,2023-02-06 13:18:10+00:00
plesse pray country everyone,2023-02-06 13:18:12+00:00
may allah help ameen,2023-02-06 13:18:12+00:00
christian atsu former premier league footballer reportedly among trapped rubble powerful earthquake struck turkey,2023-02-06 13:18:14+00:00
another earthquake magnitude strikes central turkey says usgsthis rd earthquake two powerful earthquakes less hourstrack updates,2023-02-06 13:18:18+00:00
muhammed muharram qasab oglu turkish minister youth sports announced cancellation sports activities postponed indefinitely due earthquake postponement sports competitionsthoughts prayers,2023-02-06 13:18:22+00:00
scored teams winning goal last night happy goal fans today rubble earthquake thousands died thousands injured waiting rescued like,2023-02-06 13:18:26+00:00
sindh cabinet monday announced donate tents victims deadly earthquake claimed lives people turkiye,2023-02-06 13:18:29+00:00
prayers turkey syria lebanon may allah help protect affected mercy everyone turkishpray,2023-02-06 13:18:30+00:00
prayers goes turkey syria stay brave strong blessed,2023-02-06 13:18:31+00:00
video clips shocking imagine terrifying must real life praying survivors found devastation,2023-02-06 13:18:33+00:00
important warnings aftershocks may continue avoid entering damaged buildings avoid driving vehiclestry leave main roads clear try keep phone lines clear use internet instead emails texts searches,2023-02-06 13:18:33+00:00
heartbreaking see turkey falling like thisprayers families affected areas,2023-02-06 13:18:35+00:00
film producer julien drolon converted islam,2023-02-06 13:18:39+00:00
antakya hatay airport runway closed due massive destruction,2023-02-06 13:18:51+00:00
may allah protect brothers sistersprayers turkiye syria countries affected earthquake powerful,2023-02-06 13:18:51+00:00
devastating magnitude earthquake affected cities turkeymore thousand people lost lives amp thousands injured many still stranded rubble survivors winter colddevastating,2023-02-06 13:18:52+00:00
people expecting magnitude earthquake istanbul today know true,2023-02-06 13:18:52+00:00
revision utc depth km turkeysource gfzpotsdam,2023-02-06 13:18:59+00:00
strikes km se min ago info,2023-02-06 13:18:59+00:00
heavy congested aftershocks hit citizens want go safe areas leave city vehicles,2023-02-06 13:19:03+00:00
prayers dear begging mercy people life,2023-02-06 13:19:05+00:00
pray turkey,2023-02-06 13:19:07+00:00
hebrew word day ehzrahhelpwhat many israelis today sending ehzrah help turkey affected devastating earthquakeup including getting planes lahahzohr help recovery efforts,2023-02-06 13:19:08+00:00
sad see pictures turkey syria triple gems protect,2023-02-06 13:19:09+00:00
sure know earthquake turkey looking way help ahbap reliable foundation helps rescuing people providing needs donate via link,2023-02-06 13:19:12+00:00
god help,2023-02-06 13:19:13+00:00
occurred km e min ago local time info,2023-02-06 13:19:18+00:00
another magnitude earthquake turkey prayers everyone,2023-02-06 13:19:18+00:00
impact massive streets gaziantep southern turkeyupdate killed amp injured,2023-02-06 13:19:21+00:00
aerial view earthquake,2023-02-06 13:19:24+00:00
hi hit massive earthquakes people stuck collapsed building gsm services access internet disrupted due high usage chance starlink enabled region,2023-02-06 13:19:24+00:00
feel deeply sorry earthquakes took place various cities country,2023-02-06 13:19:32+00:00
heart broke saw may allah bless every muslim country,2023-02-06 13:19:37+00:00
