text,date,processed_text
Elon Musk Says Ready To Help Turkey With Starlink Satellites As 3 Quakes Jolt The Nation     ,2023-02-07 13:03:47+00:00,elon musk says ready to help turkey with starlink satellites as quakes jolt the nation 
"In syria, Elder sister protected his brother under the rubble Ya Allah bless these lil angels ♥️       ",2023-02-07 13:03:50+00:00,in syria elder sister protected his brother under the rubble ya allah bless these lil angels 
" taps $0.25 to confirm it's breakout in preparation for the next leg up. It's atleast $0.29 or nothing,👀 so pull back is for grabbing.🖋️   ",2023-02-07 13:03:58+00:00, taps to confirm it breakout in preparation for the next leg up it atleast or nothing so pull back is for grabbing 
Turkish Land Forces' S-70A-28 11308 with a female pilot active in Hatay province for moving crew and SAR teams. Video via    🇹🇷 ,2023-02-07 13:04:15+00:00,turkish land forces with female pilot active in hatay province for moving crew and sar teams video via 
They'd better all do the sameThere are NO buildings suitable or not at all to accommodate the people. ALL move and send Help. ,2023-02-07 13:04:21+00:00,they better all do the samethere are no buildings suitable or not at all to accommodate the people all move and send help 
Turkey has been hit by devastating earthquakes! Please help!                ,2023-02-07 13:04:25+00:00,turkey has been hit by devastating earthquakes please help 
 ( M2.9 strikes 22 km E of  ( 13 min ago. More info: ,2023-02-07 13:04:35+00:00, strikes km of min ago more info 
"The ""Order of the State"" is the highest civilian award given to any foreign national by Turkey..   ",2023-02-07 13:04:39+00:00,the order of the state is the highest civilian award given to any foreign national by turkey 
"Jin sings without music, Jin's voice without music , Magic shop song without music , Magic shop 매직샵                 ",2023-02-07 13:04:43+00:00,jin sings without music jin voice without music magic shop song without music magic shop 매직샵 
Ghana international Christian Atsu has been found alive 🙏  ,2023-02-07 13:04:46+00:00,ghana international christian atsu has been found alive 
" India sends emergency response equipment for rescue operations  |  |For more videos, click here  ",2023-02-07 13:05:00+00:00, india sends emergency response equipment for rescue operations for more videos click here 
My people🙏🏼 I’m proud!🥹We’re  🇦🇿🙏🏼🇹🇷       ,2023-02-07 13:05:03+00:00,my people proud we re 
"She protected his brother's head under the rubble and greeted us with a smile ❤Syria this morning, February 7.     ",2023-02-07 13:05:05+00:00,she protected his brother head under the rubble and greeted us with smile syria this morning february 
"Turkish President Erdogan declares 3-month state of emergency in 10 provinces hit by massive earthquakes, reports Turkey's Anadolu news agency citing President Recep Tayyip Erdogan",2023-02-07 13:05:24+00:00,turkish president erdogan declares month state of emergency in provinces hit by massive earthquakes reports turkey anadolu news agency citing president recep tayyip erdogan
PRAY FOR TURKIYE 🇹🇷🥹 blink and lilies Indonesia's support with any amount of donation is very valuable for them.  You can submit it here.   ,2023-02-07 13:05:27+00:00,pray for turkiye blink and lilies indonesia support with any amount of donation is very valuable for them you can submit it here 
YAYİNN!!!!       ,2023-02-07 13:05:28+00:00,yayi nn 
Quakes jolt  Situation worse in Gaziantep; severe weather hampers rescue operations. Nourellden gets us this ground report.  Full video of  with  -  ,2023-02-07 13:05:37+00:00,quakes jolt situation worse in gaziantep severe weather hampers rescue operations nourellden gets us this ground report full video of with 
Help Turkey    ,2023-02-07 13:05:51+00:00,help turkey 
"$450K in just 1 hour🙏Even 10 cents can be very helpful right now. You are saving children, babies and families.Many thanks to everyone who donated🥹Together &amp; stronger,love crypto❤️      ",2023-02-07 13:05:59+00:00, in just hour even cents can be very helpful right now you are saving children babies and families many thanks to everyone who donated together amp stronger love crypto 
"Hatay footage, reportedly from earlier today.   🇹🇷 ",2023-02-07 13:06:04+00:00,hatay footage reportedly from earlier today 
"I commemorate those who lost their lives in the earthquake in Syria with mercy, and offer my condolences to their relatives.  Hoping to get well soon.         ",2023-02-07 13:06:27+00:00, commemorate those who lost their lives in the earthquake in syria with mercy and offer my condolences to their relatives hoping to get well soon 
